,0,1,2,3
"[5.0, 5.0, 35.0, 35.0]",4.836695311063339e-08,3.0468345845485498e-12,1.6825626521052604e-05,1.5030013620935455e-07
"[5.0, 45.0, 35.0, 75.0]",1.0248129578914774e-07,0.0,0.0,0.0
"[5.0, 85.0, 35.0, 115.0]",0.0,0.0,-0.029701,0.0
terminal,0.0,0.0,0.0,0.0
"[45.0, 5.0, 75.0, 35.0]",1.7304399326664377e-06,0.0,0.00020063887819238508,5.615912810369971e-12
"[45.0, 45.0, 75.0, 75.0]",0.0,-0.01,-0.029701,2.3397636460916423e-10
"[5.0, 125.0, 35.0, 155.0]",0.0,0.0,0.0,0.0
"[45.0, 125.0, 75.0, 155.0]",-0.01,0.0,0.0,0.0
"[85.0, 5.0, 115.0, 35.0]",3.4033549580801054e-06,-0.03940399,0.00209324177494575,8.845714360619117e-08
"[85.0, 125.0, 115.0, 155.0]",0.0,0.0,0.0,0.0
"[125.0, 125.0, 155.0, 155.0]",0.0015026112595446584,8.100000000000001e-07,0.0,0.0
"[125.0, 85.0, 155.0, 115.0]",0.0006727863962670275,8.100000000000001e-07,0.00513509610130311,0.44173386145213606
"[125.0, 5.0, 155.0, 35.0]",3.0991127451831006e-07,0.017336133101267834,2.455584166784844e-06,4.378233030725791e-09
"[125.0, 45.0, 155.0, 75.0]",2.1257312022900006e-07,0.10628308746088876,0.0,-0.01
